student_id,score,activity_code
358641,802.7135572919042,733357
511936,779.2996264649875,733357
358686,764.710983875858,733357
962190,747.8743746363559,733357
504251,745.3837654854702,733357
358951,741.8385982735663,733357
390944,739.661332365946,733357
358565,733.6100680788315,733357
389884,730.9299978917634,733357
351888,723.0347911839166,733357
415522,721.8471918975112,733357
386298,715.8324807312333,733357
358685,714.4965396026683,733357
474199,712.7741188553122,733357
394609,711.1266389087754,733357
601037,710.1698643778259,733357
2090776,710.15063263079,733357
358645,705.2772116157743,733357
2085572,702.8593943898967,733357
503418,694.237295681562,733357
352043,694.155294917924,733357
437093,693.7910648930995,733357
394582,692.693596459439,733357
358658,692.1391517000301,733357
440209,691.6023731501341,733357
440226,691.6023731501341,733357
2085760,690.8312809170448,733357
382193,690.6887588210394,733357
370348,687.6126722717963,733357
358590,687.5486400058662,733357
501770,687.1820620818276,733357
481349,686.7976443038451,733357
1639482,685.8467229446395,733357
358594,684.3654060302418,733357
440304,684.0830791018711,733357
440230,684.0637495211624,733357
358695,683.7451356269414,733357
352046,683.2274060879596,733357
358751,681.1981452347766,733357
358716,681.0575323579089,733357
597287,680.4194525031364,733357
369067,679.9744452228806,733357
369051,679.6956677180028,733357
407537,679.1940961564115,733357
369081,678.6404477999087,733357
342102,677.676537515325,733357
369090,677.5372746610957,733357
495616,676.2313636080271,733357
485663,674.6664036634279,733357
1554306,673.0414999740713,733357
358647,671.8488038821235,733357
1346167,671.5829389648502,733357
440227,670.9821020964821,733357
358850,670.7253127171658,733357
369157,670.5359739437133,733357
358710,669.6271111686231,733357
358624,668.9830441435562,733357
369047,668.4542323889954,733357
2090824,668.4486381705202,733357
492088,667.6022078524618,733357
399369,667.3873652339661,733357
358634,666.5011753681986,733357
459792,666.4013008892903,733357
427451,666.319911193323,733357
358573,665.5934801542533,733357
485782,664.4843199084941,733357
434313,664.3506401026847,733357
389859,663.9385497866455,733357
357140,663.7260199596755,733357
2096445,663.6345831349977,733357
358652,663.5579388863707,733357
358572,663.1779491588829,733357
358683,663.1501207923947,733357
443744,663.0091971672484,733357
459796,662.7992887679811,733357
427411,662.2335073227572,733357
358551,661.8140892858969,733357
956865,661.8008836146296,733357
358884,661.7782159100159,733357
459755,661.5859425740842,733357
440222,660.5821062280056,733357
440210,660.3850904202744,733357
369160,659.5902268183643,733357
358702,659.0592550056471,733357
597362,658.8642516180947,733357
501658,658.8302394378155,733357
358717,658.5932732269263,733357
515655,658.4036727882856,733357
358714,658.0037026174178,733357
1518651,657.9331350241827,733357
390883,657.7064035997563,733357
1426347,657.5941160407081,733357
468534,657.1880198044984,733357
392647,656.4578257133705,733357
395313,655.0011295845377,733357
468577,654.8252238724168,733357
338877,654.6498165018728,733357
1674690,654.4680514501539,733357
2085800,653.7389744536438,733357
358904,653.7196759704705,733357
440306,652.7376293389395,733357
1054402,651.6694578331985,733357
358661,651.3566431336345,733357
358616,651.0234838454526,733357
381484,650.7115559815063,733357
395382,650.6436407884104,733357
1324234,650.2968438469059,733357
515391,650.1074434395672,733357
358646,650.0236330996738,733357
358712,649.1489143404197,733357
402363,649.0818891230593,733357
358976,648.9948387010344,733357
382175,648.7840153764284,733357
358001,648.7238719730424,733357
351933,648.114710334374,733357
351934,648.114710334374,733357
351977,648.114710334374,733357
352044,648.114710334374,733357
352045,648.114710334374,733357
352042,648.1128664965524,733357
359436,648.035770853828,733357
357047,647.8715015816161,733357
440291,647.3435695096448,733357
434303,647.1185095701292,733357
1059517,646.8785220970676,733357
1333300,646.8178841821118,733357
443740,646.74453311246,733357
358574,646.4366524585648,733357
339424,646.143630110227,733357
407742,645.770021794718,733357
358660,645.6316748077068,733357
390901,645.6179626544665,733357
394576,645.5402051451011,733357
358949,645.0827361737468,733357
352007,645.0005670642578,733357
1080167,644.9975940247239,733357
358691,644.2442406414293,733357
481345,644.2273479507703,733357
956898,643.0271218276682,733357
427450,643.0142811385011,733357
836106,642.7166897677131,733357
425117,642.3356210618288,733357
358633,641.9648670505176,733357
358559,641.6318043691505,733357
2085732,641.3372680155481,733357
358753,641.3224854592734,733357
440212,641.2885995417773,733357
428958,641.1354228862608,733357
390824,640.7220965837937,733357
358688,640.3524730880279,733357
390884,640.0214824024224,733357
444804,639.892204728867,733357
434312,639.5657822617292,733357
2085939,639.339974652044,733357
459856,639.1582778324548,733357
2090980,638.6152026946248,733357
390945,638.453337691443,733357
440265,638.318053606966,733357
2095832,638.1255018553511,733357
485803,637.8493452270944,733357
440198,637.8095648486053,733357
371823,637.8092456903041,733357
440214,637.6400495444739,733357
382117,637.460389937693,733357
382118,637.460389937693,733357
495619,637.3304894295284,733357
515247,637.2701239280455,733357
2090754,636.2332928083188,733357
1024476,635.325726027515,733357
475247,634.9372423665598,733357
402986,634.8169647357057,733357
445917,634.1174313709959,733357
2090648,634.0637524167165,733357
956896,633.4701579223322,733357
1024498,633.3814607944432,733357
492347,633.0558782299065,733357
2085702,633.0377490422989,733357
492465,633.0183434935802,733357
1070035,632.9641569233663,733357
464913,632.9360575481167,733357
438529,631.7016337034261,733357
490107,631.6108952022687,733357
597339,631.2536756674725,733357
459844,630.9647299530109,733357
356994,630.843910357497,733357
358571,630.4428447478525,733357
365961,630.1396238751486,733357
365969,630.1396238751486,733357
365981,630.1396238751486,733357
433497,630.034015502788,733357
406965,629.9152244328627,733357
407055,629.9152244328627,733357
376968,629.6669137329084,733357
440294,629.4016110330915,733357
465293,629.3568241151049,733357
599745,629.2474934883442,733357
351854,629.152065406144,733357
403841,629.0249264946624,733357
509650,628.9292703039257,733357
441548,628.9092100950718,733357
427448,628.8980527323974,733357
465074,628.8963959350774,733357
465294,628.7034550007191,733357
386229,628.6049354441392,733357
352040,628.5776319819461,733357
1352011,628.4820526574091,733357
425102,628.3028885740036,733357
425123,628.3028885740036,733357
425147,628.3028885740036,733357
2091040,628.2909148816613,733357
403811,628.2045547784754,733357
358671,628.1444204921495,733357
1006613,628.0385669150119,733357
407638,627.6834873831632,733357
597336,627.4924112425786,733357
597337,627.4924112425786,733357
342115,627.3673100252814,733357
